step,R_mean,R_std,V_mean,V_std,KL,entropy,Loss
3480,0.205,1.390,0.231,0.786,0.0359,0.0710,0.5751
3490,0.324,1.455,0.184,0.946,0.0106,0.0749,0.4959
3500,-0.235,1.208,0.001,0.781,0.0118,0.0689,0.4904
3510,-0.179,1.266,0.029,0.787,0.0261,0.0688,0.7097
3520,-0.172,1.264,-0.043,0.701,0.0827,0.0677,0.6626
3530,-0.051,1.137,-0.070,0.589,0.0025,0.0730,0.3587
3540,0.976,0.978,0.416,0.565,0.0147,0.0797,0.7293
3550,0.154,1.290,0.035,0.805,0.0071,0.0714,0.6064
3560,-0.359,1.078,-0.104,0.550,0.0065,0.0714,0.4350
3570,0.407,1.176,0.204,0.500,0.0074,0.0720,0.8326
10,0.455,1.253,0.163,0.733,0.0382,0.0716,0.4061
20,0.238,1.270,0.084,0.814,0.0167,0.0752,0.5884
30,0.189,1.160,0.328,0.628,0.0013,0.0742,0.5464
40,0.464,1.144,0.351,0.722,0.0268,0.0779,0.4041
50,0.232,1.175,0.196,0.763,0.0059,0.0730,0.4855
60,-0.087,1.212,-0.103,0.759,0.0077,0.0696,0.2536
70,0.008,1.294,0.094,0.727,0.0615,0.0769,0.7047
80,0.033,1.181,0.052,0.568,0.0055,0.0717,0.5173
90,-0.300,1.097,0.181,0.666,0.0126,0.0725,0.5696
100,-0.234,1.305,-0.068,0.758,0.0103,0.0737,0.5352
110,-0.049,1.215,0.023,0.639,0.0520,0.0712,0.8059
120,0.471,1.148,0.075,0.755,0.0082,0.0771,0.5365
130,0.032,1.348,-0.063,0.693,0.0183,0.0773,0.6456
140,0.085,1.235,0.059,0.856,0.0115,0.0680,0.3850
150,-0.010,1.302,0.245,0.739,0.0290,0.0798,0.4979
160,-0.033,1.229,0.024,0.647,0.0144,0.0561,0.6512
170,0.313,1.257,0.228,0.681,0.0319,0.0710,0.5425
180,-0.224,1.137,-0.097,0.635,0.0174,0.0693,0.4827
190,0.275,1.351,0.226,0.807,0.0093,0.0644,0.4189
200,0.190,1.222,0.059,0.644,0.0272,0.0753,0.5638
210,-0.515,1.487,-0.322,1.038,0.0152,0.1013,0.3109
220,-0.340,1.214,-0.037,0.739,0.0257,0.0756,0.7184
230,0.402,1.079,0.088,0.674,0.0152,0.0720,0.4541
240,0.582,0.972,0.462,0.691,0.0146,0.0691,0.4883
250,0.076,1.291,0.114,0.675,0.0200,0.0633,0.5902
260,0.046,1.252,0.149,0.783,0.0416,0.0693,0.4570
270,0.640,0.981,0.392,0.688,0.0187,0.0732,0.4985
280,-0.402,1.081,-0.005,0.722,0.0314,0.0712,0.8332
290,-0.434,1.184,0.016,0.761,0.0311,0.0704,0.5533
300,0.275,1.366,0.176,0.950,0.0221,0.0687,0.3133
310,0.267,1.206,0.210,0.789,0.0086,0.0743,0.4381
320,-0.001,1.344,0.164,0.867,0.0093,0.0815,0.4052
330,0.136,1.405,0.060,0.851,0.0167,0.0649,0.5538
340,0.870,0.977,0.541,0.705,0.0062,0.0780,0.3186
350,0.278,1.227,0.209,0.781,0.0150,0.0681,0.4023
360,0.478,1.285,0.507,0.767,0.0250,0.0703,0.3714
370,0.479,1.209,0.408,0.840,0.0347,0.0736,0.4113
380,0.208,1.117,0.063,0.559,0.0040,0.0662,0.4847
390,0.388,1.133,0.382,0.555,0.0244,0.0656,0.9348
400,-0.008,1.245,0.090,0.668,0.0135,0.0606,0.5233
410,0.065,1.295,-0.018,0.645,0.0140,0.0614,0.6632
420,-0.048,1.277,0.089,0.648,0.0147,0.0768,0.7562
